anio,entidad,edad_quinquenal,sexo,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,fecha
2011,CAMPECHE,1 a 4 años,Femenino,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2011-12-31
2011,CAMPECHE,1 a 4 años,Masculino,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-12-31
2011,CAMPECHE,1 a 4 años,No especificado,0.0,,,,,,,,,,2011-12-31
2011,CAMPECHE,10 a 14 años,Femenino,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2011-12-31
2011,CAMPECHE,10 a 14 años,Masculino,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2011-12-31
2011,CAMPECHE,10 a 14 años,No especificado,0.0,,,,,,,,,,2011-12-31
2011,CAMPECHE,15 a 19 años,Femenino,19.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2011-12-31
2011,CAMPECHE,15 a 19 años,Masculino,28.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,2011-12-31
2011,CAMPECHE,15 a 19 años,No especificado,0.0,,,,,,,,,,2011-12-31
2011,CAMPECHE,20 a 24 años,Femenino,15.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,2011-12-31
2011,CAMPECHE,20 a 24 años,Masculino,51.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2011-12-31
2011,CAMPECHE,20 a 24 años,No especificado,0.0,,,,,,,,,,2011-12-31
2011,CAMPECHE,25 a 29 años,Femenino,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2011-12-31
2011,CAMPECHE,25 a 29 años,Masculino,42.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2011-12-31
2011,CAMPECHE,25 a 29 años,No especificado,0.0,,,,,,,,,,2011-12-31
2011,CAMPECHE,30 a 34 años,Femenino,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,2011-12-31
2011,CAMPECHE,30 a 34 años,Masculino,58.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2011-12-31
2011,CAMPECHE,30 a 34 años,No especificado,0.0,,,,,,,,,,2011-12-31
2011,CAMPECHE,35 a 39 años,Femenino,8.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2011-12-31
2011,CAMPECHE,35 a 39 años,Masculino,54.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,2011-12-31
2011,CAMPECHE,35 a 39 años,No especificado,0.0,,,,,,,,,,2011-12-31
2011,CAMPECHE,40 a 44 años,Femenino,12.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2011-12-31
2011,CAMPECHE,40 a 44 años,Masculino,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-12-31
2011,CAMPECHE,40 a 44 años,No especificado,0.0,,,,,,,,,,2011-12-31
2011,CAMPECHE,45 a 49 años,Femenino,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-12-31
2011,CAMPECHE,45 a 49 años,Masculino,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2011-12-31
2011,CAMPECHE,45 a 49 años,No especificado,0.0,,,,,,,,,,2011-12-31
2011,CAMPECHE,5 a 9 años,Femenino,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-12-31
2011,CAMPECHE,5 a 9 años,Masculino,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-12-31
2011,CAMPECHE,5 a 9 años,No especificado,0.0,,,,,,,,,,2011-12-31
2011,CAMPECHE,50 a 54 años,Femenino,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2011-12-31
2011,CAMPECHE,50 a 54 años,Masculino,25.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2011-12-31
