anio,entidad,grupo_etario,sexo,ansiedad,demencia,depresion,total,trastorno_bipolar,trastorno_discapacidad_intelectual,trastorno_estres_postraumatico,trastorno_espectro_autista,deficit_atencion_hiperactividad,trastorno_psicotico,trastorno_conducta_infancia_adolescencia,entidad_etq
2024,GUERRERO,10 A 14 AÑOS,HOMBRES,500,0,159,1232,10,20,25,36,69,8,405,Guerrero
2024,GUERRERO,10 A 14 AÑOS,MUJERES,954,0,383,1787,4,16,49,5,35,8,333,Guerrero
2024,GUERRERO,15 A 19 AÑOS,HOMBRES,239,0,187,640,5,24,30,13,7,15,120,Guerrero
2024,GUERRERO,15 A 19 AÑOS,MUJERES,783,0,747,1908,18,15,61,4,115,9,156,Guerrero
2024,GUERRERO,20 A 29 AÑOS,HOMBRES,789,0,193,1207,15,28,33,11,1,137,0,Guerrero
2024,GUERRERO,20 A 29 AÑOS,MUJERES,2805,0,1187,4292,28,39,169,1,2,61,0,Guerrero
2024,GUERRERO,30 A 49 AÑOS,HOMBRES,1257,4,283,2047,45,32,42,5,0,379,0,Guerrero
2024,GUERRERO,30 A 49 AÑOS,MUJERES,3820,0,1350,5784,124,63,173,4,0,250,0,Guerrero
2024,GUERRERO,5 A 9 AÑOS,HOMBRES,248,0,60,1061,2,18,21,89,158,5,460,Guerrero
2024,GUERRERO,5 A 9 AÑOS,MUJERES,294,0,65,692,0,11,19,22,46,3,232,Guerrero
2024,GUERRERO,50 A 59 AÑOS,HOMBRES,462,4,131,759,23,3,9,1,0,126,0,Guerrero
2024,GUERRERO,50 A 59 AÑOS,MUJERES,1090,3,473,1779,47,10,46,1,0,109,0,Guerrero
2024,GUERRERO,60 AÑOS Y MÁS,HOMBRES,486,22,241,826,5,5,15,0,1,51,0,Guerrero
2024,GUERRERO,60 AÑOS Y MÁS,MUJERES,961,48,629,1750,35,4,21,0,0,52,0,Guerrero
2024,HIDALGO,10 A 14 AÑOS,HOMBRES,236,0,69,575,0,34,3,17,62,5,149,Hidalgo
2024,HIDALGO,10 A 14 AÑOS,MUJERES,478,0,141,831,2,25,4,15,13,2,151,Hidalgo
2024,HIDALGO,15 A 19 AÑOS,HOMBRES,102,0,71,290,0,24,6,9,14,8,56,Hidalgo
2024,HIDALGO,15 A 19 AÑOS,MUJERES,283,0,487,916,1,37,23,5,4,11,65,Hidalgo
2024,HIDALGO,20 A 29 AÑOS,HOMBRES,328,1,90,489,2,27,4,4,0,33,0,Hidalgo
2024,HIDALGO,20 A 29 AÑOS,MUJERES,1026,0,1050,2216,7,95,21,1,0,16,0,Hidalgo
2024,HIDALGO,30 A 49 AÑOS,HOMBRES,413,1,95,606,8,25,9,0,0,55,0,Hidalgo
2024,HIDALGO,30 A 49 AÑOS,MUJERES,1499,1,797,2479,38,45,34,0,1,64,0,Hidalgo
2024,HIDALGO,5 A 9 AÑOS,HOMBRES,63,0,10,430,2,20,3,77,105,0,150,Hidalgo
2024,HIDALGO,5 A 9 AÑOS,MUJERES,83,0,25,253,0,17,4,10,28,2,84,Hidalgo
2024,HIDALGO,50 A 59 AÑOS,HOMBRES,114,7,35,191,6,9,1,0,0,19,0,Hidalgo
2024,HIDALGO,50 A 59 AÑOS,MUJERES,579,2,245,878,9,7,10,0,0,26,0,Hidalgo
2024,HIDALGO,60 AÑOS Y MÁS,HOMBRES,186,60,99,379,6,10,2,0,0,16,0,Hidalgo
2024,HIDALGO,60 AÑOS Y MÁS,MUJERES,626,94,300,1058,4,6,5,0,0,23,0,Hidalgo
2024,JALISCO,10 A 14 AÑOS,HOMBRES,220,0,76,919,1,112,4,121,155,3,227,Jalisco
2024,JALISCO,10 A 14 AÑOS,MUJERES,443,0,213,945,0,62,22,30,47,4,124,Jalisco
2024,JALISCO,15 A 19 AÑOS,HOMBRES,88,0,92,388,4,33,5,51,57,11,47,Jalisco
2024,JALISCO,15 A 19 AÑOS,MUJERES,282,0,305,724,3,30,11,7,43,11,32,Jalisco
2024,JALISCO,20 A 29 AÑOS,HOMBRES,400,0,167,680,5,32,8,19,3,46,0,Jalisco
2024,JALISCO,20 A 29 AÑOS,MUJERES,1045,0,540,1684,8,45,24,4,3,15,0,Jalisco
2024,JALISCO,30 A 49 AÑOS,HOMBRES,664,3,270,1067,16,35,7,2,4,66,0,Jalisco
2024,JALISCO,30 A 49 AÑOS,MUJERES,1952,6,910,3062,50,42,29,1,8,64,0,Jalisco
2024,JALISCO,5 A 9 AÑOS,HOMBRES,81,0,7,540,0,46,9,83,136,5,173,Jalisco
2024,JALISCO,5 A 9 AÑOS,MUJERES,105,0,11,322,0,24,3,25,51,4,99,Jalisco
2024,JALISCO,50 A 59 AÑOS,HOMBRES,316,6,137,550,32,14,6,0,1,38,0,Jalisco
2024,JALISCO,50 A 59 AÑOS,MUJERES,862,8,511,1496,45,12,15,0,0,43,0,Jalisco
2024,JALISCO,60 AÑOS Y MÁS,HOMBRES,435,117,233,839,17,5,3,0,0,29,0,Jalisco
2024,JALISCO,60 AÑOS Y MÁS,MUJERES,1037,134,818,2053,23,5,10,0,0,26,0,Jalisco
2024,MICHOACÁN DE OCAMPO,10 A 14 AÑOS,HOMBRES,383,0,100,1169,2,88,18,87,121,4,366,Michoacán
2024,MICHOACÁN DE OCAMPO,10 A 14 AÑOS,MUJERES,763,0,274,1530,4,70,31,30,31,10,317,Michoacán
2024,MICHOACÁN DE OCAMPO,15 A 19 AÑOS,HOMBRES,192,0,134,535,2,42,5,37,17,22,84,Michoacán
2024,MICHOACÁN DE OCAMPO,15 A 19 AÑOS,MUJERES,468,0,430,1080,11,40,20,16,11,8,76,Michoacán
2024,MICHOACÁN DE OCAMPO,20 A 29 AÑOS,HOMBRES,799,2,170,1105,7,33,26,11,2,55,0,Michoacán
